asignatura,año,tipo,ccaa,link,operativo
Diseño,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_empresa_diseno.zip,si
Diseño,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_diseno.zip,si
Diseño,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_empresa_diseno.zip,si
Francés,2015,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2015_frances.zip,si
Francés,2016,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2016_frances.zip,si
Francés,2017,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2017_frances.zip,si
Francés,2018,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2018_frances.zip,si
Francés,2019,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2019_frances.zip,si
Francés,2020,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2020_frances.zip,si
Francés,2021,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2021_frances.zip,si
Francés,2022,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2022_frances.zip,si
Francés,2023,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2023_frances.zip,si
Francés,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_frances.zip,si
Francés,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_frances.zip,si
Fundamentos Artísticos,2017,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2017_fundamentos_arte.zip,si
Fundamentos Artísticos,2018,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2018_fundamentos_arte.zip,si
Fundamentos Artísticos,2019,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2019_fundamentos_arte.zip,si
Fundamentos Artísticos,2020,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2020_fundamentos_arte.zip,si
Fundamentos Artísticos,2021,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2021_fundamentos_arte.zip,si
